
{'Accuracy': 0.5778571367263794, 'F1_Score': 0.33069083094596863, 'Recall': 0.6257143020629883, 'Precision': 0.22473062574863434, 'AUC': 0.6253147125244141}
{'Accuracy': 0.5688095092773438, 'F1_Score': 0.32651543617248535, 'Recall': 0.6271428465843201, 'Precision': 0.22071392834186554, 'AUC': 0.6231045126914978}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.33050504326820374, 'Recall': 0.5842857360839844, 'Precision': 0.23042254149913788, 'AUC': 0.6289591789245605}
{'Accuracy': 0.5971428751945496, 'F1_Score': 0.32589641213417053, 'Recall': 0.5842857360839844, 'Precision': 0.22596685588359833, 'AUC': 0.6250222325325012}
{'Accuracy': 0.6023809313774109, 'F1_Score': 0.3194783926010132, 'Recall': 0.5600000023841858, 'Precision': 0.2234891653060913, 'AUC': 0.6200449466705322}
{'Accuracy': 0.5928571224212646, 'F1_Score': 0.33203125, 'Recall': 0.6071428656578064, 'Precision': 0.22849462926387787, 'AUC': 0.6270750761032104}
{'Accuracy': 0.6109523773193359, 'F1_Score': 0.32535094022750854, 'Recall': 0.5628571510314941, 'Precision': 0.22880372405052185, 'AUC': 0.6285671591758728}
{'Accuracy': 0.6059523820877075, 'F1_Score': 0.31976982951164246, 'Recall': 0.5557143092155457, 'Precision': 0.2244662493467331, 'AUC': 0.6225481629371643}
{'Accuracy': 0.563095211982727, 'F1_Score': 0.3236269950866699, 'Recall': 0.6271428465843201, 'Precision': 0.218082457780838, 'AUC': 0.625018835067749}
{'Accuracy': 0.6247618794441223, 'F1_Score': 0.3212747573852539, 'Recall': 0.5328571200370789, 'Precision': 0.2299630045890808, 'AUC': 0.6375302076339722}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.3250710964202881, 'Recall': 0.5714285969734192, 'Precision': 0.22714367508888245, 'AUC': 0.6305428743362427}
{'Accuracy': 0.5719047784805298, 'F1_Score': 0.33060312271118164, 'Recall': 0.6342856884002686, 'Precision': 0.22356495261192322, 'AUC': 0.6308299899101257}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.32027918100357056, 'Recall': 0.5899999737739563, 'Precision': 0.2197977602481842, 'AUC': 0.6322869062423706}
{'Accuracy': 0.5883333086967468, 'F1_Score': 0.32854369282722473, 'Recall': 0.604285717010498, 'Precision': 0.225600004196167, 'AUC': 0.6259992122650146}
{'Accuracy': 0.5997619032859802, 'F1_Score': 0.3267921507358551, 'Recall': 0.5828571319580078, 'Precision': 0.22704507410526276, 'AUC': 0.6273126602172852}
{'Accuracy': 0.5864285826683044, 'F1_Score': 0.32491254806518555, 'Recall': 0.5971428751945496, 'Precision': 0.2231713831424713, 'AUC': 0.622869610786438}
{'Accuracy': 0.6138095259666443, 'F1_Score': 0.3236030042171478, 'Recall': 0.5542857050895691, 'Precision': 0.22850412130355835, 'AUC': 0.6269559264183044}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.3267822861671448, 'Recall': 0.6057142615318298, 'Precision': 0.22374670207500458, 'AUC': 0.633608341217041}
{'Accuracy': 0.5709523558616638, 'F1_Score': 0.3250936269760132, 'Recall': 0.6200000047683716, 'Precision': 0.22030456364154816, 'AUC': 0.6205108165740967}
{'Accuracy': 0.5533333420753479, 'F1_Score': 0.32225432991981506, 'Recall': 0.6371428370475769, 'Precision': 0.21566730737686157, 'AUC': 0.6217212677001953}
{'Accuracy': 0.5876190662384033, 'F1_Score': 0.3197171986103058, 'Recall': 0.581428587436676, 'Precision': 0.22047670185565948, 'AUC': 0.6214289665222168}
{'Accuracy': 0.613095223903656, 'F1_Score': 0.3359215259552002, 'Recall': 0.5871428847312927, 'Precision': 0.23526044189929962, 'AUC': 0.628911018371582}
{'Accuracy': 0.5876190662384033, 'F1_Score': 0.32920217514038086, 'Recall': 0.6071428656578064, 'Precision': 0.22582359611988068, 'AUC': 0.6309914588928223}
{'Accuracy': 0.5911904573440552, 'F1_Score': 0.32693061232566833, 'Recall': 0.595714271068573, 'Precision': 0.2252836376428604, 'AUC': 0.6261401772499084}
{'Accuracy': 0.5992857217788696, 'F1_Score': 0.3227364122867584, 'Recall': 0.572857141494751, 'Precision': 0.22464986145496368, 'AUC': 0.622277557849884}
{'Accuracy': 0.6361904740333557, 'F1_Score': 0.3309982419013977, 'Recall': 0.5400000214576721, 'Precision': 0.23863635957241058, 'AUC': 0.633985698223114}
{'Accuracy': 0.618571400642395, 'F1_Score': 0.3182978630065918, 'Recall': 0.5342857241630554, 'Precision': 0.2266666740179062, 'AUC': 0.6287662982940674}
{'Accuracy': 0.5685714483261108, 'F1_Score': 0.3278931677341461, 'Recall': 0.631428599357605, 'Precision': 0.22144289314746857, 'AUC': 0.6275330781936646}
{'Accuracy': 0.5909523963928223, 'F1_Score': 0.36745214462280273, 'Recall': 0.7128571271896362, 'Precision': 0.2475198358297348, 'AUC': 0.7025527954101562}
{'Accuracy': 0.6095238327980042, 'F1_Score': 0.38484621047973633, 'Recall': 0.7328571677207947, 'Precision': 0.26093590259552, 'AUC': 0.7084214091300964}
{'Accuracy': 0.6023809313774109, 'F1_Score': 0.37640029191970825, 'Recall': 0.7200000286102295, 'Precision': 0.2548028230667114, 'AUC': 0.7030230760574341}
{'Accuracy': 0.5904762148857117, 'F1_Score': 0.37180423736572266, 'Recall': 0.727142870426178, 'Precision': 0.2497546672821045, 'AUC': 0.7062175273895264}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3719097077846527, 'Recall': 0.741428554058075, 'Precision': 0.24820660054683685, 'AUC': 0.7063840627670288}
{'Accuracy': 0.607619047164917, 'F1_Score': 0.379518061876297, 'Recall': 0.7200000286102295, 'Precision': 0.25766870379447937, 'AUC': 0.7052797675132751}
{'Accuracy': 0.5528571605682373, 'F1_Score': 0.3629579246044159, 'Recall': 0.7642857432365417, 'Precision': 0.23798932135105133, 'AUC': 0.6952755451202393}
{'Accuracy': 0.5983333587646484, 'F1_Score': 0.37909460067749023, 'Recall': 0.7357142567634583, 'Precision': 0.2553296983242035, 'AUC': 0.7068330645561218}
{'Accuracy': 0.6023809313774109, 'F1_Score': 0.375, 'Recall': 0.7157142758369446, 'Precision': 0.25405678153038025, 'AUC': 0.7020636796951294}
{'Accuracy': 0.6121428608894348, 'F1_Score': 0.38084378838539124, 'Recall': 0.7157142758369446, 'Precision': 0.2594510614871979, 'AUC': 0.7069934606552124}
{'Accuracy': 0.5961904525756836, 'F1_Score': 0.37370753288269043, 'Recall': 0.7228571176528931, 'Precision': 0.25199201703071594, 'AUC': 0.7018469572067261}
{'Accuracy': 0.6102380752563477, 'F1_Score': 0.3701423704624176, 'Recall': 0.6871428489685059, 'Precision': 0.25329121947288513, 'AUC': 0.698993444442749}
{'Accuracy': 0.6085714101791382, 'F1_Score': 0.37821483612060547, 'Recall': 0.7142857313156128, 'Precision': 0.2572016417980194, 'AUC': 0.7050163149833679}
{'Accuracy': 0.6057142615318298, 'F1_Score': 0.37367624044418335, 'Recall': 0.7057142853736877, 'Precision': 0.2541152238845825, 'AUC': 0.6990069150924683}
{'Accuracy': 0.621666669845581, 'F1_Score': 0.3775949776172638, 'Recall': 0.6885714530944824, 'Precision': 0.2601187229156494, 'AUC': 0.6986236572265625}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.37532907724380493, 'Recall': 0.7128571271896362, 'Precision': 0.2547217905521393, 'AUC': 0.6978865265846252}
{'Accuracy': 0.5888095498085022, 'F1_Score': 0.37313973903656006, 'Recall': 0.7342857122421265, 'Precision': 0.2501216530799866, 'AUC': 0.7023155093193054}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.3796330988407135, 'Recall': 0.7242857217788696, 'Precision': 0.25722983479499817, 'AUC': 0.7029298543930054}
{'Accuracy': 0.5899999737739563, 'F1_Score': 0.3733624517917633, 'Recall': 0.7328571677207947, 'Precision': 0.25048828125, 'AUC': 0.7058249115943909}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.3748588562011719, 'Recall': 0.7114285826683044, 'Precision': 0.2544711232185364, 'AUC': 0.7017542719841003}
{'Accuracy': 0.6202380657196045, 'F1_Score': 0.3796188235282898, 'Recall': 0.6971428394317627, 'Precision': 0.2608231008052826, 'AUC': 0.6986710429191589}
{'Accuracy': 0.567380964756012, 'F1_Score': 0.37236616015434265, 'Recall': 0.7699999809265137, 'Precision': 0.24555808305740356, 'AUC': 0.7077200412750244}
{'Accuracy': 0.5904762148857117, 'F1_Score': 0.3695014715194702, 'Recall': 0.7200000286102295, 'Precision': 0.24852071702480316, 'AUC': 0.6948812007904053}
{'Accuracy': 0.6035714149475098, 'F1_Score': 0.3766379654407501, 'Recall': 0.7185714244842529, 'Precision': 0.25520041584968567, 'AUC': 0.7053664922714233}
{'Accuracy': 0.5842857360839844, 'F1_Score': 0.37239396572113037, 'Recall': 0.7400000095367432, 'Precision': 0.24879923462867737, 'AUC': 0.7026705741882324}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.36817359924316406, 'Recall': 0.727142870426178, 'Precision': 0.24648910760879517, 'AUC': 0.697548508644104}
{'Accuracy': 0.5719047784805298, 'F1_Score': 0.36734694242477417, 'Recall': 0.7457143068313599, 'Precision': 0.24369747936725616, 'AUC': 0.7026550769805908}
{'Accuracy': 0.586904764175415, 'F1_Score': 0.3747747838497162, 'Recall': 0.7428571581840515, 'Precision': 0.2506024241447449, 'AUC': 0.7103020548820496}
{'Accuracy': 0.6190476417541504, 'F1_Score': 0.38080495595932007, 'Recall': 0.7028571367263794, 'Precision': 0.2611464858055115, 'AUC': 0.7112424373626709}
{'Accuracy': 0.6016666889190674, 'F1_Score': 0.37597912549972534, 'Recall': 0.7200000286102295, 'Precision': 0.25441697239875793, 'AUC': 0.7008591890335083}
{'Accuracy': 0.574999988079071, 'F1_Score': 0.371257483959198, 'Recall': 0.7528571486473083, 'Precision': 0.24637681245803833, 'AUC': 0.7018314003944397}
{'Accuracy': 0.6080952286720276, 'F1_Score': 0.37651515007019043, 'Recall': 0.7099999785423279, 'Precision': 0.2561855614185333, 'AUC': 0.7066053152084351}
{'Accuracy': 0.5969047546386719, 'F1_Score': 0.372265487909317, 'Recall': 0.7171428799629211, 'Precision': 0.25137707591056824, 'AUC': 0.7024961709976196}
{'Accuracy': 0.6080952286720276, 'F1_Score': 0.3779289424419403, 'Recall': 0.7142857313156128, 'Precision': 0.25693729519844055, 'AUC': 0.6980224847793579}
{'Accuracy': 0.5950000286102295, 'F1_Score': 0.3739418387413025, 'Recall': 0.7257142663002014, 'Precision': 0.251859188079834, 'AUC': 0.7055385708808899}
{'Accuracy': 0.5823809504508972, 'F1_Score': 0.3762446641921997, 'Recall': 0.7557142972946167, 'Precision': 0.2504734992980957, 'AUC': 0.7114126682281494}
{'Accuracy': 0.5945237874984741, 'F1_Score': 0.37228161096572876, 'Recall': 0.7214285731315613, 'Precision': 0.25086936354637146, 'AUC': 0.70012366771698}
{'Accuracy': 0.5952380895614624, 'F1_Score': 0.37956205010414124, 'Recall': 0.7428571581840515, 'Precision': 0.2549019753932953, 'AUC': 0.7041277885437012}
{'Accuracy': 0.5947619080543518, 'F1_Score': 0.3738042712211609, 'Recall': 0.7257142663002014, 'Precision': 0.2517343759536743, 'AUC': 0.7037546634674072}
{'Accuracy': 0.6276190280914307, 'F1_Score': 0.3823064863681793, 'Recall': 0.691428542137146, 'Precision': 0.264192134141922, 'AUC': 0.7047260999679565}
{'Accuracy': 0.5842857360839844, 'F1_Score': 0.3759828507900238, 'Recall': 0.7514285445213318, 'Precision': 0.2507149577140808, 'AUC': 0.707405686378479}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.37258613109588623, 'Recall': 0.7028571367263794, 'Precision': 0.2534776031970978, 'AUC': 0.7068726420402527}
{'Accuracy': 0.5690476298332214, 'F1_Score': 0.36446627974510193, 'Recall': 0.741428554058075, 'Precision': 0.24162010848522186, 'AUC': 0.7008497714996338}
{'Accuracy': 0.6111904978752136, 'F1_Score': 0.3736095130443573, 'Recall': 0.6957142949104309, 'Precision': 0.255374938249588, 'AUC': 0.7022530436515808}
{'Accuracy': 0.5983333587646484, 'F1_Score': 0.3777203857898712, 'Recall': 0.7314285635948181, 'Precision': 0.2545996904373169, 'AUC': 0.7088444828987122}
{'Accuracy': 0.596666693687439, 'F1_Score': 0.3650674521923065, 'Recall': 0.6957142949104309, 'Precision': 0.24745935201644897, 'AUC': 0.6941412091255188}
{'Accuracy': 0.5747619271278381, 'F1_Score': 0.37813371419906616, 'Recall': 0.7757142782211304, 'Precision': 0.25, 'AUC': 0.7135883569717407}
{'Accuracy': 0.5940476059913635, 'F1_Score': 0.38022536039352417, 'Recall': 0.7471428513526917, 'Precision': 0.2549975514411926, 'AUC': 0.7063155174255371}
{'Accuracy': 0.6150000095367432, 'F1_Score': 0.3778376281261444, 'Recall': 0.7014285922050476, 'Precision': 0.25855714082717896, 'AUC': 0.7030706405639648}
