
{'Accuracy': 0.6583333611488342, 'F1_Score': 0.4330304265022278, 'Recall': 0.7828571200370789, 'Precision': 0.2992900013923645, 'AUC': 0.7781224250793457}
{'Accuracy': 0.6580952405929565, 'F1_Score': 0.4292527735233307, 'Recall': 0.7714285850524902, 'Precision': 0.29735681414604187, 'AUC': 0.7776898145675659}
{'Accuracy': 0.6673809289932251, 'F1_Score': 0.4364663064479828, 'Recall': 0.772857129573822, 'Precision': 0.30410343408584595, 'AUC': 0.778264045715332}
{'Accuracy': 0.6509523987770081, 'F1_Score': 0.4309006333351135, 'Recall': 0.7928571701049805, 'Precision': 0.2958422303199768, 'AUC': 0.7792465686798096}
{'Accuracy': 0.6580952405929565, 'F1_Score': 0.433307021856308, 'Recall': 0.7842857241630554, 'Precision': 0.2993457019329071, 'AUC': 0.7777302265167236}
{'Accuracy': 0.6559523940086365, 'F1_Score': 0.4286279082298279, 'Recall': 0.7742857336997986, 'Precision': 0.2963367998600006, 'AUC': 0.7795510292053223}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.42969363927841187, 'Recall': 0.7814285755157471, 'Precision': 0.29631635546684265, 'AUC': 0.780748724937439}
{'Accuracy': 0.6509523987770081, 'F1_Score': 0.4282371401786804, 'Recall': 0.7842857241630554, 'Precision': 0.29452788829803467, 'AUC': 0.7738722562789917}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.4251781404018402, 'Recall': 0.7671428322792053, 'Precision': 0.29408544301986694, 'AUC': 0.7745771408081055}
{'Accuracy': 0.6561904549598694, 'F1_Score': 0.4323899447917938, 'Recall': 0.7857142686843872, 'Precision': 0.29826465249061584, 'AUC': 0.7797338962554932}
{'Accuracy': 0.6611904501914978, 'F1_Score': 0.4341948330402374, 'Recall': 0.7799999713897705, 'Precision': 0.30082646012306213, 'AUC': 0.7759000062942505}
{'Accuracy': 0.6521428823471069, 'F1_Score': 0.43085312843322754, 'Recall': 0.7900000214576721, 'Precision': 0.2961971163749695, 'AUC': 0.7808706164360046}
