
{'Accuracy': 0.6014285683631897, 'F1_Score': 0.32554391026496887, 'Recall': 0.5771428346633911, 'Precision': 0.22671155631542206, 'AUC': 0.6109061241149902}
{'Accuracy': 0.6235714554786682, 'F1_Score': 0.32464757561683655, 'Recall': 0.5428571701049805, 'Precision': 0.23156611621379852, 'AUC': 0.6200220584869385}
{'Accuracy': 0.5980952382087708, 'F1_Score': 0.3280254900455475, 'Recall': 0.5885714292526245, 'Precision': 0.22737306356430054, 'AUC': 0.6258569359779358}
{'Accuracy': 0.5628571510314941, 'F1_Score': 0.3154362440109253, 'Recall': 0.604285717010498, 'Precision': 0.2134207934141159, 'AUC': 0.6128705739974976}
{'Accuracy': 0.6361904740333557, 'F1_Score': 0.3298245668411255, 'Recall': 0.5371428728103638, 'Precision': 0.23797468841075897, 'AUC': 0.6253095865249634}
{'Accuracy': 0.5849999785423279, 'F1_Score': 0.3135092556476593, 'Recall': 0.5685714483261108, 'Precision': 0.2164219617843628, 'AUC': 0.6160147190093994}
{'Accuracy': 0.6080952286720276, 'F1_Score': 0.32540982961654663, 'Recall': 0.5671428442001343, 'Precision': 0.22816091775894165, 'AUC': 0.6208906173706055}
{'Accuracy': 0.6240476369857788, 'F1_Score': 0.3260776698589325, 'Recall': 0.545714259147644, 'Precision': 0.23250152170658112, 'AUC': 0.6194683313369751}
{'Accuracy': 0.602142870426178, 'F1_Score': 0.32265910506248474, 'Recall': 0.5685714483261108, 'Precision': 0.22524051368236542, 'AUC': 0.6178759336471558}
{'Accuracy': 0.6069047451019287, 'F1_Score': 0.31748655438423157, 'Recall': 0.5485714077949524, 'Precision': 0.22338569164276123, 'AUC': 0.6197897791862488}
{'Accuracy': 0.6192857027053833, 'F1_Score': 0.3373394012451172, 'Recall': 0.581428587436676, 'Precision': 0.2375948578119278, 'AUC': 0.622990608215332}
{'Accuracy': 0.5688095092773438, 'F1_Score': 0.3339463174343109, 'Recall': 0.6485714316368103, 'Precision': 0.22486379742622375, 'AUC': 0.6292720437049866}
{'Accuracy': 0.5747619271278381, 'F1_Score': 0.32194381952285767, 'Recall': 0.6057142615318298, 'Precision': 0.21923474967479706, 'AUC': 0.6229087710380554}
{'Accuracy': 0.616428554058075, 'F1_Score': 0.34002459049224854, 'Recall': 0.5928571224212646, 'Precision': 0.23836874961853027, 'AUC': 0.6351608037948608}
