
{'Accuracy': 0.57833331823349, 'F1_Score': 0.3289124667644501, 'Recall': 0.6200000047683716, 'Precision': 0.22382672131061554, 'AUC': 0.6346029043197632}
{'Accuracy': 0.5773809552192688, 'F1_Score': 0.3273967504501343, 'Recall': 0.6171428561210632, 'Precision': 0.2227952480316162, 'AUC': 0.6325236558914185}
{'Accuracy': 0.5680952668190002, 'F1_Score': 0.3286454379558563, 'Recall': 0.6342856884002686, 'Precision': 0.22177822887897491, 'AUC': 0.6329161524772644}
{'Accuracy': 0.5845237970352173, 'F1_Score': 0.32807084918022156, 'Recall': 0.6085714101791382, 'Precision': 0.22456510365009308, 'AUC': 0.6326167583465576}
{'Accuracy': 0.575952410697937, 'F1_Score': 0.33420559763908386, 'Recall': 0.6385714411735535, 'Precision': 0.22632911801338196, 'AUC': 0.6335673928260803}
{'Accuracy': 0.5861904621124268, 'F1_Score': 0.3346095085144043, 'Recall': 0.6242856979370117, 'Precision': 0.22855648398399353, 'AUC': 0.6345328092575073}
{'Accuracy': 0.583809494972229, 'F1_Score': 0.3333333432674408, 'Recall': 0.6242856979370117, 'Precision': 0.2273673266172409, 'AUC': 0.634434700012207}
{'Accuracy': 0.5785714387893677, 'F1_Score': 0.3365817070007324, 'Recall': 0.6414285898208618, 'Precision': 0.2281504124403, 'AUC': 0.6408963203430176}
{'Accuracy': 0.5721428394317627, 'F1_Score': 0.3292273283004761, 'Recall': 0.6299999952316284, 'Precision': 0.222839817404747, 'AUC': 0.6343693733215332}
{'Accuracy': 0.5828571319580078, 'F1_Score': 0.32924962043762207, 'Recall': 0.6142857074737549, 'Precision': 0.2248954027891159, 'AUC': 0.6319583654403687}
{'Accuracy': 0.5657142996788025, 'F1_Score': 0.32891830801963806, 'Recall': 0.6385714411735535, 'Precision': 0.22150644659996033, 'AUC': 0.634066104888916}
{'Accuracy': 0.5802381038665771, 'F1_Score': 0.33092978596687317, 'Recall': 0.6228571534156799, 'Precision': 0.22532299160957336, 'AUC': 0.6347016096115112}
{'Accuracy': 0.5766666531562805, 'F1_Score': 0.3265151381492615, 'Recall': 0.6157143115997314, 'Precision': 0.22216494381427765, 'AUC': 0.6329697966575623}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3337134122848511, 'Recall': 0.6271428465843201, 'Precision': 0.22734335064888, 'AUC': 0.6338061094284058}
{'Accuracy': 0.5785714387893677, 'F1_Score': 0.3355855941772461, 'Recall': 0.6385714411735535, 'Precision': 0.22759674489498138, 'AUC': 0.6335281729698181}
