
{'Accuracy': 0.5509523749351501, 'F1_Score': 0.30865103006362915, 'Recall': 0.6014285683631897, 'Precision': 0.20759369432926178, 'AUC': 0.5955679416656494}
{'Accuracy': 0.5433333516120911, 'F1_Score': 0.3085796535015106, 'Recall': 0.6114285588264465, 'Precision': 0.20636451244354248, 'AUC': 0.5969530344009399}
{'Accuracy': 0.5530952215194702, 'F1_Score': 0.30967268347740173, 'Recall': 0.6014285683631897, 'Precision': 0.2085190713405609, 'AUC': 0.5943597555160522}
{'Accuracy': 0.5526190400123596, 'F1_Score': 0.3094450533390045, 'Recall': 0.6014285683631897, 'Precision': 0.2083127200603485, 'AUC': 0.5984785556793213}
{'Accuracy': 0.5416666865348816, 'F1_Score': 0.3043006956577301, 'Recall': 0.6014285683631897, 'Precision': 0.20367681980133057, 'AUC': 0.5965803861618042}
{'Accuracy': 0.5319047570228577, 'F1_Score': 0.3048090636730194, 'Recall': 0.6157143115997314, 'Precision': 0.20253759622573853, 'AUC': 0.5938097834587097}
{'Accuracy': 0.5473809242248535, 'F1_Score': 0.3089785575866699, 'Recall': 0.6071428656578064, 'Precision': 0.20721599459648132, 'AUC': 0.5997477769851685}
{'Accuracy': 0.5559523701667786, 'F1_Score': 0.30797773599624634, 'Recall': 0.5928571224212646, 'Precision': 0.20802004635334015, 'AUC': 0.5957705974578857}
{'Accuracy': 0.5364285707473755, 'F1_Score': 0.30785638093948364, 'Recall': 0.618571400642395, 'Precision': 0.2049219161272049, 'AUC': 0.5992071628570557}
{'Accuracy': 0.5488095283508301, 'F1_Score': 0.31015652418136597, 'Recall': 0.6085714101791382, 'Precision': 0.20810942351818085, 'AUC': 0.5996579527854919}
{'Accuracy': 0.5473809242248535, 'F1_Score': 0.30948057770729065, 'Recall': 0.6085714101791382, 'Precision': 0.20750121772289276, 'AUC': 0.5990265607833862}
{'Accuracy': 0.5361904501914978, 'F1_Score': 0.3077469766139984, 'Recall': 0.618571400642395, 'Precision': 0.20482496917247772, 'AUC': 0.5986955165863037}
{'Accuracy': 0.5533333420753479, 'F1_Score': 0.31029412150382996, 'Recall': 0.6028571724891663, 'Precision': 0.20891089737415314, 'AUC': 0.5998767614364624}
{'Accuracy': 0.5516666769981384, 'F1_Score': 0.312522828578949, 'Recall': 0.6114285588264465, 'Precision': 0.20990681648254395, 'AUC': 0.5979244709014893}
{'Accuracy': 0.5469047427177429, 'F1_Score': 0.31075698137283325, 'Recall': 0.6128571629524231, 'Precision': 0.20815138518810272, 'AUC': 0.5972659587860107}
{'Accuracy': 0.5416666865348816, 'F1_Score': 0.30680590867996216, 'Recall': 0.6085714101791382, 'Precision': 0.20510351657867432, 'AUC': 0.5957832932472229}
{'Accuracy': 0.563095211982727, 'F1_Score': 0.31606411933898926, 'Recall': 0.6057142615318298, 'Precision': 0.21381744742393494, 'AUC': 0.6004669666290283}
{'Accuracy': 0.5476190447807312, 'F1_Score': 0.30909091234207153, 'Recall': 0.6071428656578064, 'Precision': 0.2073170691728592, 'AUC': 0.5982687473297119}
{'Accuracy': 0.5364285707473755, 'F1_Score': 0.30736392736434937, 'Recall': 0.6171428561210632, 'Precision': 0.20464235544204712, 'AUC': 0.594059944152832}
{'Accuracy': 0.5430952310562134, 'F1_Score': 0.3119397759437561, 'Recall': 0.6214285492897034, 'Precision': 0.20823360979557037, 'AUC': 0.5994446873664856}
{'Accuracy': 0.5469047427177429, 'F1_Score': 0.3087540864944458, 'Recall': 0.6071428656578064, 'Precision': 0.20701412856578827, 'AUC': 0.5958269238471985}
